"autoctr","Stockcode","C_Code","SpecCode","CountryRefNo","AlsoRef","Status","CurrentPresence","Freshwater","Brackish","Saltwater","Land","Comments","Abundance","RefAbundance","Importance","RefImportance","ExVesselPrice","Aquaculture","RefAquaculture","LiveExportOrg","LiveExport","RefLiveExport","Game","Bait","Regulations","RefRegulations","Threatened","CountrySubComp","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","country"
76982,5711,"704",5446,12846,NA,"native","present",0,0,1,0,"Known from central Vietnam (Ref. 12846), Cu Lao Cham, Nha Trang, Cu Lao Cau and Spratly islands (Ref. 58534).","scarce (very unlikely)",12846,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2006-11-16,1472,2007-08-14,NA,NA,NA,"Viet Nam"
77008,5712,"704",5447,12846,NA,"native","present",0,0,1,0,"Known from central Vietnam (Ref. 12846), Cu Lao Cham, Nha Trang and Spratly islands (Ref. 58534).","common (usually seen)",12846,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2006-11-16,1472,2007-08-14,NA,NA,NA,"Viet Nam"
77038,5713,"704",5448,46893,NA,"native","present",0,0,1,0,"Known from Quang Ninh-Cat Ba, Cu Lao Cham, Nha Trang, Cu Lao Cau, Con Dao and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,393,2003-07-03,1472,2007-08-14,NA,NA,NA,"Viet Nam"
77090,5717,"704",4659,2682,NA,"native","present",0,0,1,0,"Known from Cu Lao Cham, Nha Trang, An Thoi and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,22,1992-07-29,1472,2007-09-06,NA,NA,NA,"Viet Nam"
77176,5724,"704",5454,12846,NA,"native","present",0,0,1,0,"Known from central Vietnam (Ref. 12846).  Also Ref. 1602.","common (usually seen)",12846,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,21,1994-03-30,1472,2006-11-15,NA,NA,NA,"Viet Nam"
77209,5725,"704",5455,58534,NA,"native","present",0,0,1,0,"Known from Quang Ninh-Cat Ba (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-09-19,NA,2007-09-19,NA,NA,NA,"Viet Nam"
77281,5728,"704",5458,12846,NA,"native","present",0,0,1,0,"Known from central Vietnam (Ref. 12846) and Quang Ninh-Cat Ba (Ref. 58534).","abundant (always seen in some numbers)",12846,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2006-11-16,1472,2007-08-14,NA,NA,NA,"Viet Nam"
77307,5729,"704",5459,58534,NA,"native","present",0,0,1,0,"Known from Quang Ninh-Cat Ba, Hon Me, Con Co, Cu Lao Cham, Nha Trang, Cu Lao Cau, Con Dao, An Thoi and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-08-15,NA,2007-08-15,NA,NA,NA,"Viet Nam"
77545,5751,"704",5474,2682,46452,"native","present",0,1,1,0,"Status of threat: Rare (Ref. 46452). Also Ref. 55784.",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,1,0,22,1992-07-15,14,2021-11-16,NA,NA,NA,"Viet Nam"
77581,5752,"704",5477,12846,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin and central Vietnam (Ref. 12846); also from Cu Lao Cham, Nha Trang, Cu Lao Cau, Con Dao, An Thoi and Spratly islands (Ref. 58534).","common (usually seen)",12846,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2006-11-16,1472,2007-08-14,NA,NA,NA,"Viet Nam"
77595,5753,"704",5478,58534,NA,"native","present",0,0,1,0,"Known from Con Dao and Spratly islands (Ref. 58534).",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2007-09-04,NA,2007-09-04,NA,NA,NA,"Viet Nam"
77694,5757,"704",5482,12846,NA,"native","present",0,0,1,0,"Known from the Gulf of Tonkin and central Vietnam (Ref. 12846); also from Quang Ninh-Cat Ba, Cu Lao Cham, Nha Trang, Cu Lao Cau, Con Dao, An Thoi and Spratly islands (Ref. 58534).","common (usually seen)",12846,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2006-11-16,1472,2007-08-13,NA,NA,NA,"Viet Nam"
77724,5758,"704",5483,12846,NA,"native","present",0,0,1,0,"Known from central Vietnam (Ref. 12846), Quang Ninh-Cat Ba, Cu Lao Cham, Con Dao, An Thoi and Spratly islands (Ref. 58534).","occasional (usually not seen)",12846,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,1472,2006-11-16,1472,2007-08-14,NA,NA,NA,"Viet Nam"
